record_key,measurement_key,measurement_id,sequence_id,substrate_id,pair_id,split_family,split
5ea03c9b37d76f9d,5ea03c9b37d76f9d,meas_5a1da4d7493cd96d,ed8a1691faf6,smiles:6c1788a2fe69909d,pair_0677c36ce14022f0,substrate_exclusive,train
8ac63dfd6ea5a0ee,8ac63dfd6ea5a0ee,meas_d6ea3f00ad9719d8,cabb374d5ce7,smiles:fc8842c641d91506,pair_089850243c723cdf,substrate_exclusive,train
2e46004b73b62f1d,2e46004b73b62f1d,meas_27ff3d2b03357bfa,7a5cf2d7a449,smiles:ec65892b56c59abf,pair_f020bd7e9ee0286c,substrate_exclusive,train
1cfa05ddda314f60,1cfa05ddda314f60,meas_edf9412637ca8b60,cabb374d5ce7,smiles:9f7f125dd97ca9eb,pair_2769732d2f0d7b03,substrate_exclusive,train
853273133f7508ab,853273133f7508ab,meas_9344665a1b072c49,c487dac652ce,smiles:9f7f125dd97ca9eb,pair_a12d8447649dcc7c,substrate_exclusive,train
862b2409e83ad838,862b2409e83ad838,meas_0fe35525781f2404,fa7119962953,smiles:9f7f125dd97ca9eb,pair_8d4e69274983e70a,substrate_exclusive,train
da626e9d5e0e4625,da626e9d5e0e4625,meas_12b2551d1999f560,7cbc4e4220f6,smiles:9f7f125dd97ca9eb,pair_1dc685adbe1c91a0,substrate_exclusive,train
7ee1a1fe9189dabf,7ee1a1fe9189dabf,meas_0f7b11d5fba62c70,ca7b744710c8,smiles:9f7f125dd97ca9eb,pair_5d57d778d7a31492,substrate_exclusive,train
18885ac084ebc64c,18885ac084ebc64c,meas_d2506ef19f386d9f,cabb374d5ce7,smiles:9cb2825886b38b33,pair_96a8f3a0546ac1a9,substrate_exclusive,train
f44820c61184ec69,f44820c61184ec69,meas_1fad4740ae696196,c487dac652ce,smiles:9cb2825886b38b33,pair_c84e41fc151ec210,substrate_exclusive,train
b74c9e01d36f216c,b74c9e01d36f216c,meas_91a6c6b4b3b95ac7,fa7119962953,smiles:9cb2825886b38b33,pair_4129f61952ef0ffb,substrate_exclusive,train
e3727da804e5f5a9,e3727da804e5f5a9,meas_0802539a1a1bb9d1,7cbc4e4220f6,smiles:9cb2825886b38b33,pair_3d3c47a330a2620b,substrate_exclusive,train
ce3d186d3d4d6a96,ce3d186d3d4d6a96,meas_b226d4cb14c199df,ca7b744710c8,smiles:9cb2825886b38b33,pair_a39c79d878feaec7,substrate_exclusive,train
151a4a580a05777c,151a4a580a05777c,meas_e4c4728f7e97c6c7,d80e26554878,smiles:ec65892b56c59abf,pair_dc02f791cc054a84,substrate_exclusive,train
11536b2d49e2cca9,11536b2d49e2cca9,meas_09e0234408210071,0271fc18c662,smiles:ec65892b56c59abf,pair_11054c48449bdf0b,substrate_exclusive,train
